Koordinatensystem : Lambert konform konisch
Rechtswert        : 4109500 Meter
Hochwert          : 2383500 Meter
Hoehenlage        : 546 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
4109500 2383500  1  6 17   5.2  945  16  1.4 8  6.0  99    0    2 315 -344  2
4109500 2383500  1  6 18   4.9  945 181  1.2 8  5.8 100    0    0 313 -342  2
4109500 2383500  1  6 19   4.7  946 325  1.3 8  5.7 100    0    0 313 -340  2
4109500 2383500  1  6 20   4.2  946 317  1.9 8  5.6 100    0    0 311 -338  2
4109500 2383500  1  6 21   3.6  947 298  1.6 8  5.4 100    0    0 310 -336  2
4109500 2383500  1  6 22   3.4  947   4  0.7 8  5.2 100    0    0 310 -335  2
4109500 2383500  1  6 23   3.1  947 330  2.0 8  5.1 100    0    0 311 -335  2
4109500 2383500  1  6 24   2.9  947   7  2.0 7  5.0 100    0    0 304 -334  2
4109500 2383500  1  7  1   2.5  947 312  2.3 7  4.9 100    0    0 297 -332  2
4109500 2383500  1  7  2   2.3  947 260  0.8 7  4.8 100    0    0 298 -331  2
4109500 2383500  1  7  3   2.2  947 291  1.9 6  4.8 100    0    0 293 -330  2
4109500 2383500  1  7  4   1.0  948 297  1.8 8  4.6 100    0    0 296 -329  2
4109500 2383500  1  7  5   0.1  949 271  1.0 6  4.2 100    0    0 293 -326  2
4109500 2383500  1  7  6  -0.1  949 251  0.9 7  4.1 100    0    0 284 -320  2
4109500 2383500  1  7  7   0.0  949  72  0.9 8  4.0 100    0    0 296 -316  2
4109500 2383500  1  7  8  -0.2  950   4  0.3 8  4.0 100    0    0 302 -315  2
4109500 2383500  1  7  9   0.0  950   3  0.2 8  4.0 100   14   18 303 -315  2
4109500 2383500  1  7 10   0.0  950  35  0.2 8  4.0 100   17   66 304 -315  2
4109500 2383500  1  7 11   0.6  951  20  0.2 5  4.1 100    0   73 285 -315  2
4109500 2383500  1  7 12   0.4  951  85  0.2 7  4.2 100    0   46 280 -315  2
4109500 2383500  1  7 13   0.4  951 131  0.9 8  4.2 100    0   73 298 -315  2
4109500 2383500  1  7 14   0.5  950  93  0.9 5  4.2 100    1   93 285 -315  2
4109500 2383500  1  7 15   0.2  950  93  0.9 7  4.2 100    0   51 280 -315  2
4109500 2383500  1  7 16   0.1  950   2  0.2 8  4.1 100    0   37 297 -315  2
4109500 2383500  1  7 17  -0.1  950  58  1.0 6  4.0 100    0    3 291 -315  2
4109500 2383500  1  7 18  -0.3  949 354  0.1 8  4.0 100    0    0 290 -315  2
4109500 2383500  1  7 19  -0.4  949 359  0.2 7  3.9 100    0    0 295 -315  2
4109500 2383500  1  7 20  -0.3  949 355  0.3 7  3.9 100    0    0 287 -315  2
4109500 2383500  1  7 21  -0.4  950   3  0.2 8  3.9 100    0    0 292 -315  2
4109500 2383500  1  7 22  -0.4  950 360  0.4 7  3.9 100    0    0 290 -315  2
4109500 2383500  1  7 23  -0.3  949   3  0.3 7  3.9 100    0    0 285 -315  2
4109500 2383500  1  7 24  -0.2  949 359  0.3 8  4.0 100    0    0 290 -315  2
4109500 2383500  1  8  1  -0.1  949   1  0.2 6  4.0 100    0    0 284 -315  2
4109500 2383500  1  8  2  -0.3  949 359  0.3 6  4.0 100    0    0 272 -315  2
4109500 2383500  1  8  3  -0.3  949 359  0.3 6  4.0 100    0    0 272 -315  2
4109500 2383500  1  8  4  -0.3  949 358  0.2 8  4.0 100    0    0 284 -315  2
4109500 2383500  1  8  5  -0.2  949   1  0.2 8  4.0 100    0    0 298 -315  2
4109500 2383500  1  8  6  -0.2  949 357  0.2 8  4.0 100    0    0 299 -315  2
4109500 2383500  1  8  7  -0.3  949 358  0.1 7  4.0 100    0    0 293 -315  2
4109500 2383500  1  8  8  -0.2  949 358  0.1 8  4.0 100    0    0 294 -315  2
4109500 2383500  1  8  9  -0.1  949 359  0.1 7  4.0 100    1   15 296 -315  2
4109500 2383500  1  8 10   0.0  950 360  0.1 8  4.0 100    0   51 298 -315  2
4109500 2383500  1  8 11   0.2  949 360  0.0 8  4.1 100    0   63 304 -315  2
4109500 2383500  1  8 12   0.5  949 359  0.1 8  4.2 100    0   65 305 -315  2
4109500 2383500  1  8 13   0.5  949 300  0.9 8  4.2 100    0   68 306 -315  2
4109500 2383500  1  8 14   0.7  949 311  1.0 8  4.2 100    0   92 306 -315  2
4109500 2383500  1  8 15   0.5  948 301  1.8 7  4.2 100    3   87 300 -315  2
4109500 2383500  1  8 16   0.4  948 291  1.7 8  4.2 100    0   34 300 -315  2
4109500 2383500  1  8 17   0.2  948 310  0.8 8  4.1 100    0    2 306 -315  2
4109500 2383500  1  8 18   0.0  949 310  0.9 8  4.1 100    0    0 305 -315  2
4109500 2383500  1  8 19  -0.1  949 290  1.6 6  4.0 100    0    0 294 -315  2
4109500 2383500  1  8 20  -0.1  949 280  1.6 7  4.0 100    0    0 287 -315  2
4109500 2383500  1  8 21  -0.1  949 279  0.9 7  4.0 100    0    0 292 -315  2
4109500 2383500  1  8 22   0.0  950 250  1.6 8  4.0 100    0    0 298 -315  2
4109500 2383500  1  8 23   0.3  950 280  1.7 8  4.1 100    0    0 303 -315  2
4109500 2383500  1  8 24   0.3  950 270  1.0 8  4.1 100    0    0 303 -315  2
4109500 2383500  1  9  1   0.3  950 250  1.8 8  4.1 100    0    0 303 -315  2
